Job_Role,Company,Location,Job Experience,Skills/Description
Data Scientist: Artificial Intelligence,IBM,Bangalore/Bengaluru,4-8,"IVR, Telecommunication, Analytics, Monitoring, Capacity planning, Disaster recovery, Agile, Infrastructure"
Data Scientist: Artificial Intelligence,IBM,Bangalore/Bengaluru,3-7,"Enterprise applications, Open source, AWS, Analytics, LEX, AWS Lex, IT Skills, Automation testing"
Data Scientist: Artificial Intelligence,IBM,Bangalore/Bengaluru,3-7,"Enterprise applications, Open source, AWS, Analytics, LEX, AWS Lex, Automation testing, Artificial Intelligence"
Data Scientist: Artificial Intelligence,IBM,Bangalore/Bengaluru,3-7,"Enterprise applications, Open source, AWS, Analytics, LEX, IT Skills, Automation testing, Artificial Intelligence"
Data Scientist,Applied Materials,Bangalore/Bengaluru,4-7,"Deep learning, Pytorch, Cnn, Rnn, NLP, Lstm, Keras, Spacy"
Data Scientist (Organic Growth),KWALEE INDIA PRIVATE LIMITED,Bangalore/Bengaluru,2-7,"Predictive Modeling, Hypothesis Testing, SEO, ASO, Philosophy, Python, SQL"
Manager - Data Scientist,SBI Card,Gurgaon/Gurugram,1-5,"Operations research, Automation, Neural networks, Turbine, QlikView, data visualization, Business intelligence, big data"
Assistant Vice President - Data Scientist,SBI Card,Gurgaon/Gurugram,9-12,"Operations research, Automation, Neural networks, Analytical, Turbine, QlikView, Business intelligence, FSI"
Data Scientist,EXL,"Bangalore/Bengaluru, Delhi / NCR",5-10,"python, Natural Language Processing, Machine Learning, Predictive Modeling"
Data Scientist,IBM,Bangalore/Bengaluru,3-6,"Coding, Debugging, Application development, Open source, Python, IT Skills, Java, Data Science"
Data Scientist,IBM,Bangalore/Bengaluru,3-6,"Coding, Debugging, Application development, Open source, Python, Java, PyTorch, Cloud"
Data Scientist - SQL Queries | Talent500,TALENT500 TECH (INDIA) PRIVATE LIMITED,Remote,6-11,"Data Science, SQL"
Data Scientist- python/SQL,TeamPlus Staffing Solution Pvt Ltd,Bangalore/Bengaluru,3-10,"Logistic regression, Basic, Machine learning, SQL, Python"
Assistant Manager - Data Scientist,LatentView,Chennai,5-10,"Predictive Modeling, Natural Language Processing, Machine Learning, Logistic Regression, Statistical Programming, Text Mining, SQL, Regression Analysis"
Data Engineer / Data Analyst / Data Scientist - Pune,OCN FOUR VENTURES LLP,Pune,7-12,"Data Scientist, Data Engineer, Tableau, Azure, GCP, Power BI, Relational DB, AWS cloud"
Associate Scientist- Data Science,AXA Technology Services India Pvt. Ltd,Gurgaon/Gurugram,3-7,"data science, Underwriting, Finance, Machine learning, Agile, Manager Technology, Actuarial, Natural language processing"
Data Scientist - Deep Learning Solutions,Huquo Consulting Pvt. Ltd,"Noida, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru",1-6,"NLP, Deep Learning, TensorFlow, Data Science, Data Pipeline, Data Scientist, Machine Learning, Python"
Data Scientist - Spark/Python/Redshift,Career Infosystem,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Bangalore/Bengaluru, Delhi / NCR",6-9,"Data Science, R, Data Scientist, Data Mining, Data Modeling, Distributed Computing, Spark, Data Analytics"
Data Scientist - NLP/Python/Spark,TalPro,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru",3-8,"NLP, Spark, Python, Natural Language Generation, Entity extraction, Spotfire, Sentiment Analysis, predictive analytics"
Data Scientist - Python/Machine Learning,Corner Tree Consulting,"Mumbai, Chennai, Bangalore/Bengaluru, Delhi / NCR",10-14,"Machine Learning, Python, Net Core, Data Analytics, Azure IoT, Statistical Analysis, DevOps, CICD"
Analytics India Magazine - Data Scientist - NLP/R/Python,AIM recruits,"Mumbai, Pune, Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru",5-7,"R, NLP, Python, SSAS, Azure, SSIS, Forecasting, ETL"
Data Scientist - SAS/SQL/SPSS,Talpro,"Delhi / NCR, Bangalore/Bengaluru",8-12,"IT Skills, Java, Testing, Product Management, database analysis, R, SAS, Data Management"
Data Scientist - SQL/Python/Machine Learning Algorithms,TalentStack,Bangalore/Bengaluru,1-4,"IT Skills, Java, Python, Data Science, Machine Learning, Predictive Modeling, R, Data Scientist"
Assistant Manager/ Manager/ Data Scientist - Python/ Machine Learning,Huquo Consulting Pvt. Ltd,Bangalore/Bengaluru,3-8,"Data Science, Predictive Modeling, NLP, Data wrangling, Data Management, Deep Learning, Machine Learning, Numpy"
Data Scientist - SQL/R/Python,iMindYourBusiness,Bangalore/Bengaluru,4-8,"Python, debugging, Analysis, data mining, JMP, SAS, text analytics, social media analytics"
Data Scientist- With a Series B Funded Product Based Fintech,Connexions,Bangalore/Bengaluru,5-10,"Python, IT Skills, Data Science, Machine Learning, Deep learning, GLMM, Data Structures, Deployment"
Lead Data Scientist - Deep Learning/Machine Learning,Confidential,Bangalore/Bengaluru,2-7,"Linear Regression, PyTorch, Theano, Cluster analysis, management, verbal, Python, Open CV"
Principal Data Scientist - Big Data,Axcess Consultancy Services,Bangalore/Bengaluru,4-9,"Big Data, Time series data, TensorFlow, IT Skills, Python, Machine Learning, R, Data Scientist"
Data Scientist - Predictive Analytics,TalentStack,Bangalore/Bengaluru,1-3,"Machine Learning, noSQL, analytical, R, data mining, communication, analytics, SQL"
Data Scientist - Machine Learning,Catalyst,Bangalore/Bengaluru,2-7,"Data Science, Data Quality, Data Scientist, Statistical Modeling, Statistical Analyst, Machine Learning"
Data Scientist,Gojek,Bangalore/Bengaluru,1-2,"Computer science, Text mining, Machine learning, Flex, Predictive modeling, Forecasting, Analytics, Financial services"
Data Scientist,Gojek,Bangalore/Bengaluru,4-10,"Computer science, Text mining, Machine learning, Flex, Predictive modeling, Forecasting, Analytics, Financial services"
Data Scientist 1,PayPal,Bangalore/Bengaluru,4-8,"PPC, Senior Analyst, Credit risk management, Scientist 1, Management, Financial services, Monitoring"
Data Scientist 2,PayPal,Bangalore/Bengaluru,6-10,"Product management, Analytical skills, Trade, Coding, Financial services, Spectrum"
Software Engineer- Python Data Engineer/Scientist I,Deutsche Bank,Pune,2-5,"GIT, Trade finance, Agile, Data collection, Cash management, data visualization, Troubleshooting, SDLC"
Software Engineer- Data Engineer/Scientist I,Deutsche Bank,Pune,2-5,"GIT, Trade finance, Agile, Data collection, Cash management, data visualization, Troubleshooting, SDLC"
Data Scientist,Orcapod Consulting Services Private Limited,"Hyderabad/Secunderabad, Chennai, Mumbai (All Areas)",5-10,"IT Skills, Python, Data Science, Machine Learning, Analytics"
Data Scientist,Upman Placements Pvt Ltd,"Pune, Mumbai (All Areas)",5-10,"data analysis, data science, machine learning, artificial intelligence, text analytics, Java, deep learning, python"
Data Scientist,Vrinda Global Private Limited,Gurgaon/Gurugram,2-7,"data scientist, Data Analysis, data forecasting, Data Mining, Data modelling"
Urgent Opening For Data Scientist For Big4 Company,Orcapod Consulting Services Private Limited,"Mumbai, Pune",1-6,"R, Tableau, communication, modeling, C#, Python, Shiny, Java"
Data Scientist,Acme Services,Mumbai,5-8,"Data Science, Data Engineering, Big Data, Tableau, Data Analytics, Statistics, Scikit-Learn, Azure Devops"
Immediate requirement For Data Scientist,Orcapod Consulting Services Private Limited,Hyderabad/Secunderabad,4-6,"object - oriented programming, unit testing, written communication, Python, OOP, SQL, PySpark, git"
urgent requirement For data scientist,Orcapod Consulting Services Private Limited,Hyderabad/Secunderabad,4-6,"git, written communication, unit testing, object - oriented programming, OOP, PySpark, SQL, Python"
Associate Vice President - Data Scientist - IIT/ NIT/ IIM/ XLRI,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,8-12,"IT Skills, Java, Python, Machine Learning, Cloud, Big Data, Data Science, Tensorflow"
Data Scientist,Genzeon Technology Solutions Private Limited,Hyderabad/Secunderabad,8-13,"PowerBI, R, regression, cluster analysis, modeling, SLQ, Python, SAS"
Data Scientist,RCPC,Noida,4-6,"Data Science, data analysis, predictive modelling, Tensorflow, exploratory data analysis, Keras, data visualization, Python"
Data Scientist,Liquiloans,Mumbai,2-3,"Data Scientist, programming, Python, Science libraries, data transformation, debt investment"
Data Scientist - Python/Tableau,Accubits Technologies,Trivandrum/Thiruvananthapuram,4-8,"R, Tableau, Python, D3J, Excel, Hadoop, Hive, Machine Learning"
Data Scientist - Statistical Modeling,Aviation Indeed,Noida,3-8,"Statistical Modeling, Data Science, Hive, Cloud Computing, Hadoop, Google Cloud Platform, Data Management, Big Data"
Data Scientist,Refinitiv,Mumbai,3-7,"Usage, Stock exchange, Analytical, Programming, Healthcare, Data processing, Quantitative Analyst, MATLAB"
Data Scientist - Machine Learning/APICS,CarbyneTech India,Hyderabad/Secunderabad,3-8,"Data Science, APICS, Machine Learning, Deep Learning, Neural networks, R, ML, Ai"
Assistant Manager/Manager/AVP - Data Scientist - BFS,Black Turtle India Pvt Ltd,Hyderabad/Secunderabad,3-8,"Python, Data Science, Data Management, Big Data, Data Visualization, Data Modeling, Tableau, Data Analytics"
CarbyneTech - Data Scientist - Image Recognition/Machine Learning,CarbyneTech India,Hyderabad/Secunderabad,5-10,"Data Scientist, NLP, Time Series Analysis, Artificial Intelligence, Data Management, Image Recognition, Distributed Computing, Machine Learning"
ION Group - Data Scientists,ION,Mumbai,2-7,"IT Skills, Python, Software Development, Data Science, Machine Learning, Artificial Intelligence, AWS, Supply chain"
Data Scientist,Intrics Solutions Private Limited,Noida,5-9,"Data Anlalytics, machine learning, Deep Learning, nlp, Python, IT Skills, Data Science, Tableau"
Data Scientist | AI / ML Engineer | Gurgaon | Immediate joiner |,F&F Consulting Services,"Gurgaon/Gurugram(Sohna Road), Delhi / NCR",2-4,"Machine Learning, Chatbots, analytics, Opencv, Artificial Intelligence, Image Processing, data modelling, Computer Vision"
Data Scientist - Manager / Sr Manager - Manufacturing,Munsar Services,Hyderabad/Secunderabad,8-10,"Big Data Analytics, Data Engineering, Data Science, Data Scientist, Python, Power Bi, Digital Transformation, Business Intelligence Tools"
Senior Data Scientist - Machine Learning,Serving Skill,Kochi/Cochin,6-9,"IT Skills, Python, Data Science, Machine Learning, Cloud, Big Data, Azure, Data Scientist"
Urgent Opening For Data Scientist- Manager/ Sr. Manager!,Peoplefy Infosolutions Pvt. Ltd.,Pune,10-17,"algorithms, python, Artificial Intelligence, Machine Learning, Cloud services, Microsoft Azure, GCP, AWS"
Data Scientist (freelance),2Coms,"Mumbai, Mumbai",3-8,"IT Skills, Java, Python, Machine Learning, Javascript, Data Scientist"
Data Scientist (freelance),2Coms,"Jaipur, Jaipur",2-7,Data Scientist
Data Scientist (freelance),2Coms,"Indore, Indore",2-7,Data Scientist
Data Scientist (freelance),2Coms,"Hyderabad/Secunderabad, Hyderabad",3-8,"IT Skills, Java, Python, Machine Learning, Javascript, Data Scientist"
Data Scientist (freelance),2Coms,"New Delhi, Delhi",2-7,"IT Skills, Java, Python, Machine Learning, Javascript, Data Scientist"
Data Scientist,SPEARLINE INDIA PRIVATE LIMITED,Ahmedabad,5-8,"Data Science, Python, IT Skills, AWS, NLP, Linux, Natural Language Processing, Machine Learning"
Data Scientist,ESS KAY FINCORP LIMITED,Jaipur,3-6,"NLP, Natural Language Processing, Artificial Intelligence"
Data Scientist,"KPI Partners, Inc.",New Delhi,2-6,"data science, Coding"
Data Scientist,KPIT,Pune,4-7,"Python, Alteryx, machine learning, Tableau, Artificial Intelligence, SAS, communication, Postgres"
Data Scientist with Text Analytics and NLP,Concentrix,"Gurgaon/Gurugram, Delhi / NCR",3-6,"NLP, text mining, Sentiment Analysis, text Minig, analytical, MS power Point, R, MS Office"
Data Scientist,KPIT,Pune,3-8,"Python, Data Science, Azure, Power BI, GCP, Plotly, Python programming, Tableau"
Data Scientist,Eureka Outsourcing Solutions Pvt Ltd. on behalf of AmyGB,Remote,2-4,"Natural Language Processing, IT Skills, Python, Machine Learning, AWS, Azure, nlp, Vision"
Data Scientist & Data Engineers,Sabio Mobile india Private Limited,Warangal,1-6,"aws, spark, big data, python, IT Skills, Data scientist, Data Engineering"
Data Scientist - Insurance - IIM/ IIT/ NIT,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,11-16,"Data Science, Data Scientist, Artificial Intelligence, Data Management, Machine Learning, Statistics, Analytics, Python"
Data Scientist - Data Science Team - Insurance Domain,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,8-13,"Data Science, Data Scientist, Artificial Intelligence, Data Management, Data Modeling, Data Analytics, Machine Learning, Statistics"
Data Scientist - Insurance - IIM/ IIT/ NIT,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,6-11,"Data Science, Data Scientist, Artificial Intelligence, Data Management, Machine Learning, Statistics, Analytics, Python"
Data Scientist - Insurance - IIM/ IIT/ NIT,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,6-10,"Data Science, Data Scientist, Artificial Intelligence, Data Management, Machine Learning, Statistics, Analytics, Python"
Data Scientist - Insurance - IIM/ IIT/ NIT,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,12-16,"Data Science, Data analysis, Data Scientist, Artificial Intelligence, Machine Learning, Statistics, Python, SQL"
Data Scientist - Insurance - IIM/IIT/NIT,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,12-16,"Data Science, IT Skills, Python, Machine Learning, Project Management, BPO, project management, analytics"
Data Scientist - Python/ Spark/ Neural Networks,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,7-11,"Neural Networks, Spark, Python, IT Skills, Software Development, Data Science, Machine Learning, Tensorflow"
Data Scientist - Leading Analytics Product Company in Mumbai,Maestro Headhunters LLP,Mumbai,3-8,"Senior Data Scientist, Regression, Text Mining, Clustering, Machine Learning, Java, C++, C"
Data Scientist - Process Excellence & Analytics,Huquo Consulting Pvt. Ltd,Noida,2-4,"Data Science, Predictive Modeling, Data Scientist, Process Excellence, Data Analytics, Statistics, Machine Learning, Analytics"
Data Scientist - Artificial Intelligence/ Machine Learning,Confidential,Hyderabad/Secunderabad,4-8,"LDA, HTML Canvas, LSA, MongoDB, Gephi, Pentaho, SQL Server, NoSQL"
Python Data Scientist - Banking/ Retail Domain - IIT/IIM/ISI/DSE,Huquo Consulting Pvt. Ltd,Delhi / NCR,1-5,"Retail Domain, Data Structures, Banking, Scipy, R, SAS, Text Mining, Numpy"
Data Scientist - Python/Spark,Huquo Consulting Pvt. Ltd,Mumbai,1-6,"neural networks, Spark, Python, IT Skills, Data Science, Machine Learning, PMP, NLP"
Data Scientist - Python - Banking Domain,Huquo Consulting Pvt. Ltd,Delhi / NCR,1-4,"scikit, Data Structures, numpy, PySpark, NLTK, Python, seaborn, Hbase"
Data Scientist - BFSI,Huquo Consulting Pvt. Ltd,"Gurgaon/Gurugram, Delhi / NCR",3-8,"Data Science, NLP, Data Scientist, Data Management, Statistical Modeling, Data Visualization, Data Analytics, Machine Learning"
Data Scientist - Python - IIT/DSE/IIMS,Huquo Consulting Pvt. Ltd,Delhi / NCR,2-5,"Data Structures, seaborn, Hbase, pandas, scikit, Python, numpy, scipy"
Opportunity For a Data Scientist For a Leading Private Bank,RiverForest Connections Private Limited,"Mumbai, Navi Mumbai, Mumbai (All Areas)",5-10,"python, predictive modeling, algorithms, NLP, data science, Artificial Intelligence, predictive analytics, data scinetist"
Data Scientist,Huquo Consulting Pvt. Ltd,"Gurgaon/Gurugram, Delhi / NCR",3-8,"Data Science, NLP, Data Scientist, Data Management, Data Visualization, Machine Learning, SQL, Python"
Data Scientist - Computer Vision/NLP,TalentStack,Mumbai,1-4,"NLP, Computer Vision, Tensorflow, data structures, Python, Keras, IT Skills, Data Science"
Assistant Manager - Data Scientist - Insurance,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,2-7,"Data Science, R, Logistic Regression, SAS, predictive modeling, Statistical Modeling, Data Modeling, Decision Trees"
Data Scientist - Tensorflow/ Deep Learning,TalentStack,Mumbai,1-4,"Keras, Tensorflow, data structures, Python, IT Skills, Data Science, Machine Learning, Big Data"
Data Scientist - KPO,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,2-4,"Stats Modeling, Python, Data Scientist, Statistical Modeling, Forecasting, linear regression models, logistic regression, R"
